(1671509325003,1547)
(1671509330014,4777)
(1671509335021,4986)
(1671509340031,4921)
(1671509345040,4638)
(1671509350048,4582)
(1671509355059,4954)
(1671509359969,4912)
(1671509365076,4901)
(1671509369987,4957)
(1671509374999,5316)
(1671509380010,5120)
(1671509385021,4659)
(1671509390034,5041)
(1671509395045,4587)
(1671509400055,5156)
(1671509405067,4718)
(1671509409979,4816)
(1671509414990,4533)
(1671509420000,5455)
(1671509425009,4889)
(1671509430020,4940)
(1671509435028,4788)
(1671509440038,4889)
(1671509445048,4805)
(1671509450058,4800)
(1671509454967,4730)
(1671509459976,4903)
(1671509464986,5162)
(1671509469998,5075)
(1671509475009,4784)
(1671509480020,4988)
(1671509485030,5263)
(1671509490037,5063)
(1671509495048,4942)
(1671509500056,4848)
(1671509505063,4837)
(1671509510071,5098)
(1671509514979,4968)
(1671509520088,5359)
(1671509524996,4752)
(1671509530003,4505)
(1671509535011,4801)
(1671509540019,4758)
(1671509545027,4672)
(1671509550035,4506)
(1671509555043,4937)
(1671509560050,5176)
(1671509565060,4860)
(1671509570068,5165)
(1671509575076,4954)
(1671509579984,5343)
(1671509584992,4927)
(1671509590000,4826)
(1671509595008,4946)
(1671509600018,4878)
(1671509605028,5171)
(1671509610037,4848)
(1671509615046,4469)
(1671509619955,5333)
(1671509625063,4836)
(1671509629972,4669)
(1671509635080,4907)
(1671509639989,4797)
(1671509644999,4805)
(1671509650007,5259)
(1671509655016,4895)
(1671509660026,5290)
(1671509665034,5208)
(1671509670043,4774)
(1671509675052,4493)
(1671509680060,4899)
(1671509685069,4773)
(1671509689978,4887)
(1671509695086,4911)
(1671509699992,5362)
(1671509705001,5394)
(1671509710011,4587)
(1671509715020,4889)
(1671509720028,4918)
(1671509725037,4550)
(1671509730046,4992)
(1671509735054,4663)
(1671509739963,4275)
(1671509745071,5045)
(1671509749980,5191)
(1671509755088,4946)
(1671509759998,4860)
(1671509765006,4746)
(1671509770015,5170)
(1671509775023,4709)
(1671509780032,5090)
(1671509785040,4349)
(1671509790050,5211)
(1671509795058,4668)
(1671509799966,5165)
(1671509805075,4793)
(1671509809982,4792)
(1671509814991,5158)
(1671509819999,4654)
(1671509825007,4808)
(1671509830014,5115)
(1671509835021,5211)
(1671509840028,4506)
(1671509845035,4861)
(1671509850041,4969)
(1671509855049,4770)
(1671509859956,4428)
(1671509865063,5283)
(1671509869969,4943)
(1671509875076,4537)
(1671509879984,4930)
(1671509884991,4614)
(1671509889997,4886)
(1671509895004,5195)
(1671509900011,5077)
(1671509905018,4920)
(1671509910024,4710)
(1671509915031,5001)
(1671509920037,5512)
(1671509925044,5305)
(1671509930052,5403)
(1671509934958,5002)
(1671509940065,5052)
(1671509944972,4495)
(1671509950079,4587)
(1671509954986,5087)
(1671509960093,4759)
(1671509965000,4696)
(1671509970006,4671)
(1671509975013,5570)
(1671509980020,4331)
(1671509985026,4152)
(1671509990033,5464)
(1671509995041,4883)
(1671510000048,4988)
(1671510005056,4877)
(1671510009963,4644)
(1671510015071,4572)
(1671510019978,4605)
(1671510025085,5308)
(1671510029992,5059)
(1671510034999,4981)
(1671510040006,4892)
(1671510045012,4674)
(1671510050020,4659)
(1671510055028,4754)
(1671510060035,4826)
(1671510065040,4948)
(1671510070047,4777)
(1671510075053,4816)
(1671510080061,4894)
(1671510085067,4472)
(1671510090073,4884)
(1671510094979,4833)
(1671510099988,4816)
(1671510104995,4826)
(1671510110004,5192)
(1671510115011,4423)
(1671510120021,5096)
(1671510125028,4589)
(1671510130034,4757)
(1671510135042,4585)
(1671510140052,5093)
(1671510145063,5518)
(1671510150073,5084)
(1671510154985,4230)
(1671510159992,5270)
(1671510165001,5425)
(1671510170010,4790)
(1671510175020,4584)
(1671510180029,4821)
(1671510185037,4682)
(1671510190045,4685)
(1671510195055,4854)
(1671510200064,5209)
(1671510204975,5173)
(1671510210086,4979)
(1671510214996,4668)
(1671510220007,4622)
(1671510225017,4572)
(1671510230028,4725)
(1671510235037,4582)
(1671510240045,4907)
(1671510245052,4899)
(1671510250058,5047)
(1671510255064,4621)
(1671510259971,4996)
(1671510265078,4661)
(1671510269985,4752)
(1671510275096,5499)
(1671510280004,4600)
(1671510285012,5632)
(1671510290018,5083)
(1671510295025,4845)
(1671510300031,5101)
(1671510305037,4777)
(1671510310044,4818)
(1671510315051,4790)
(1671510320057,4870)
(1671510325063,4824)
(1671510330069,4668)
(1671510334975,5471)
(1671510339982,4976)
(1671510345089,5322)
(1671510349994,5112)
(1671510355001,4904)
(1671510360008,5228)
(1671510365015,5206)
(1671510370022,4989)
(1671510375029,4643)
(1671510380036,4721)
(1671510385042,5007)
(1671510390049,4893)
(1671510394956,4419)
(1671510400064,5160)
(1671510404972,4845)
(1671510409980,4689)
(1671510414987,5517)
(1671510419997,4674)
(1671510425005,5294)
(1671510430012,4572)
(1671510435021,4497)
(1671510440030,4914)
(1671510445038,4555)
(1671510450045,4867)
(1671510455055,4992)
(1671510460063,4644)
(1671510465070,4838)
(1671510469977,4789)
(1671510470177,98)
